chunk_id,passage_id,dataset,title,text,n_tokens,content_type,is_gold
p000000_c0,p000000,hotpotqa,Lonesome Pine Fiddlers,"The Lonesome Pine Fiddlers (1938- 1966) were an early bluegrass band which included such notable ""first generation"" bluegrass musicians as Ezra Cline, Bobby Osborne, Paul Williams, Melvin Goins, Charlie Cline, Curly Ray Cline, Larry Richardson and for a short time Jimmy Martin. The group was started by Ezra Cline and Curly Ray Cline and was originally named ""Cousin Ezra and the Lonesome Pine Fiddlers"". The Clines came from a large family consisting of musically talented people. Ray and Charlie's father, Charlie",128,prose,False
p000000_c1,p000000,hotpotqa,Lonesome Pine Fiddlers," and the Lonesome Pine Fiddlers"". The Clines came from a large family consisting of musically talented people. Ray and Charlie's father, Charlie, was a talented banjo player and the women in the family, Geraldine and Bobbi, were great singers. For reasons unknown, Bobbi and Geraldine never joined the band on the road but often joined in at home, especially when notable Country singers, such as Bill Monroe, Lester Flatt and Earl Scruggs, and Hank Williams, came visiting. None of them ever had a music lesson yet excelled on every instrument they touched. Natives of the Gilbert",128,prose,False
p000000_c2,p000000,hotpotqa,Lonesome Pine Fiddlers,"uggs, and Hank Williams, came visiting. None of them ever had a music lesson yet excelled on every instrument they touched. Natives of the Gilbert Creek region of southern West Virginia, Cousin Ezra, along with brothers Ireland (Lazy Ned) and Curly Ray Cline, were part of the original Lonesome Pine Fiddlers from about 1938, a group that worked on radio at WHIS Bluefield, West Virginia. During World War II, Ned was killed in action. When the Pine Fiddlers resumed regular daily broadcasts, Charlie, who played multiple instruments, joined them on a regular basis",128,prose,False
p000000_c3,p000000,hotpotqa,Lonesome Pine Fiddlers," II, Ned was killed in action. When the Pine Fiddlers resumed regular daily broadcasts, Charlie, who played multiple instruments, joined them on a regular basis. Charlie returned to the Fiddlers briefly before becoming a member of Bill Monroe's Blue Grass Boys. During 1952-1955, Charlie worked off and on with Monroe, recording some 38 songs, all on Decca. It has been said that he played every instrument at one time or another in the Monroe group except mandolin. Charlie spent most of 1953 back with the Lonesome Pine Fiddlers working at",128,prose,False
p000000_c4,p000000,hotpotqa,Lonesome Pine Fiddlers," time or another in the Monroe group except mandolin. Charlie spent most of 1953 back with the Lonesome Pine Fiddlers working at WJR radio in Detroit. When Ezra brought the band to Pikeville, Kentucky, in November, Charlie rejoined Bill Monroe. In 1954, Charlie did a session, playing lead guitar, with the Stanley Brothers and also another one on RCA with the Fiddlers, although he was not otherwise working with them at the time. He also worked briefly as a sideman with the Osborne Brothers, although he did not record with them. By 195",128,prose,False
p000000_c5,p000000,hotpotqa,Lonesome Pine Fiddlers," with them at the time. He also worked briefly as a sideman with the Osborne Brothers, although he did not record with them. By 1958, Charlie (electric lead guitar) and his wife, Lee (electric bass), had rejoined Ezra and Curly Ray in the Lonesome Pine Fiddlers, who were experimenting with a more modern sound and working a TV show in Huntington, West Virginia, in addition to daily radio in Pikeville. In his later years, Charlie was with the Stanley Brothers. Curly Ray also played with the Stanley Brothers at a different time as their fiddler. Curly",128,prose,False
p000000_c6,p000000,hotpotqa,Lonesome Pine Fiddlers," his later years, Charlie was with the Stanley Brothers. Curly Ray also played with the Stanley Brothers at a different time as their fiddler. Curly Ray was one of the best fiddlers in Bluegrass. This most talented family of musicians were the best, surpassed by none. Finally, on October 1, 2009, The Lonesome Pine Fiddlers got their due when they were inducted into the International Bluegrass Hall of Fame at the Ryman Theater (the original home of the Grand Ole Opry). Bobby Osborne, Melvin Goins and Paul Williams were there to receive the bands",128,prose,False
p000000_c7,p000000,hotpotqa,Lonesome Pine Fiddlers," at the Ryman Theater (the original home of the Grand Ole Opry). Bobby Osborne, Melvin Goins and Paul Williams were there to receive the bands award. In the crowd of a sold out theater was the son of Ezra Cline, Scotty Ireland Cline, who recalled being in that same theater as a child sitting on stage and watching the Fiddlers play. (At the time, the Opry had bleachers for family just off stage). The final act of the evening at the IBMA Awards was the playing of ""Pain in my Heart"" by Osborne, Goins and Williams along with a Song from",128,prose,False
p000000_c8,p000000,hotpotqa,Lonesome Pine Fiddlers," act of the evening at the IBMA Awards was the playing of ""Pain in my Heart"" by Osborne, Goins and Williams along with a Song from the Dillards, who were also inducted the same evening.",46,prose,False
p000001_c0,p000001,hotpotqa,Greensky Bluegrass,"Greensky Bluegrass is a five-piece American bluegrass/rock band founded in Kalamazoo, Michigan in 2000. The band has evolved over the years, growing from 3 to 5 members, adding electric effects and touring with a full light show. ""The whole notion of “traditional bluegrass” strangely remains a sticking point for plenty of the genre's faithful. Partly because of their name, every article written about the band addresses the fact that what Greensky does is “not quite” bluegrass. These depths have been plumbed. In fact, in their own promotional material, GSB",128,prose,False
