arm,budget,n,mean_realized,max_realized,mean_utilization,mean_assembly_in,mean_assembly_out,mean_assembly_s,violations
compress_llmlingua,500,25,494.64,500,0.989,11652.8,0.0,4.145,0
compress_llmlingua,1000,25,994.12,1000,0.994,11652.8,0.0,3.528,0
compress_llmlingua,2000,25,1981.72,2000,0.991,11652.8,0.0,4.079,0
compress_llmlingua,4000,25,3927.76,4000,0.982,11652.8,0.0,5.153,0
graph_select,500,25,478.68,493,0.957,0.0,0.0,0.014,0
graph_select,1000,25,974.52,989,0.975,0.0,0.0,0.016,0
graph_select,2000,25,1968.92,1978,0.984,0.0,0.0,0.022,0
graph_select,4000,25,3944.32,3962,0.986,0.0,0.0,0.051,0
naive_topk,500,25,478.28,497,0.957,0.0,0.0,0.327,0
naive_topk,1000,25,975.76,997,0.976,0.0,0.0,0.005,0
naive_topk,2000,25,1974.4,1996,0.987,0.0,0.0,0.009,0
naive_topk,4000,25,3969.32,3996,0.992,0.0,0.0,0.016,0
naive_topk_dedup,500,25,478.28,497,0.957,0.0,0.0,0.194,0
naive_topk_dedup,1000,25,975.36,997,0.975,0.0,0.0,0.248,0
naive_topk_dedup,2000,25,1974.4,1996,0.987,0.0,0.0,0.199,0
naive_topk_dedup,4000,25,3969.28,3996,0.992,0.0,0.0,0.236,0
rerank_topk,500,25,481.04,498,0.962,11676.8,0.0,0.576,0
rerank_topk,1000,25,976.6,999,0.977,11676.8,0.0,0.006,0
rerank_topk,2000,25,1976.4,1998,0.988,11676.8,0.0,0.011,0
rerank_topk,4000,25,3964.28,3996,0.991,11676.8,0.0,0.018,0
summarize_recomp,500,25,188.0,500,0.376,12679.2,188.96,2.419,0
summarize_recomp,1000,25,276.28,1000,0.276,13639.92,277.24,3.226,0
summarize_recomp,2000,25,358.16,2000,0.179,15571.28,359.12,3.956,0
summarize_recomp,4000,25,359.16,1386,0.09,19444.24,360.16,6.085,0
