sweep,arm,budget,hop_type,n,em,f1,faithfulness,answer_relevance,mean_gen_input_tokens,mean_total_tokens,mean_cost_usd,mean_latency_s,em_ci_lo,em_ci_hi,f1_ci_lo,f1_ci_hi,apt_generator_per_1k,apt_total_per_1k
primary,compress_llmlingua,500,all,600,0.24,0.3338,0.2885,0.4965,586.5,11958.0,0.00016,20.262,0.2067,0.275,0.3013,0.3675,0.4092,0.0201
primary,compress_llmlingua,500,multi,300,0.3933,0.455,0.3097,0.5717,596.4,12235.3,0.000163,35.583,0.3367,0.45,0.4004,0.508,,
primary,compress_llmlingua,500,single,300,0.0867,0.2125,0.2673,0.4213,576.7,11680.6,0.000158,4.941,0.0567,0.12,0.179,0.2486,,
primary,compress_llmlingua,1000,all,600,0.2783,0.3748,0.3865,0.5553,1079.7,12451.1,0.000275,5.247,0.2433,0.315,0.3409,0.4084,0.2578,0.0224
primary,compress_llmlingua,1000,multi,300,0.4533,0.5153,0.4163,0.6197,1085.5,12724.4,0.000276,5.102,0.3967,0.51,0.4621,0.5697,,
primary,compress_llmlingua,1000,single,300,0.1033,0.2342,0.3567,0.491,1073.9,12177.9,0.000273,5.391,0.07,0.14,0.1992,0.2713,,
primary,compress_llmlingua,2000,all,600,0.315,0.4362,0.5777,0.6515,2057.1,13428.5,0.000505,5.914,0.2783,0.3517,0.4021,0.4708,0.1531,0.0235
primary,compress_llmlingua,2000,multi,300,0.5167,0.5851,0.5867,0.6897,2052.7,13691.5,0.000505,5.742,0.46,0.5733,0.532,0.6375,,
primary,compress_llmlingua,2000,single,300,0.1133,0.2873,0.5687,0.6133,2061.5,13165.5,0.000505,6.087,0.08,0.15,0.2504,0.3266,,
primary,compress_llmlingua,4000,all,600,0.4,0.5394,0.7832,0.8188,3985.5,15356.9,0.000963,7.179,0.3617,0.4383,0.5058,0.5727,0.1004,0.026
primary,compress_llmlingua,4000,multi,300,0.6033,0.6939,0.7487,0.8017,3963.9,15602.8,0.00096,7.01,0.55,0.66,0.6446,0.7417,,
primary,compress_llmlingua,4000,single,300,0.1967,0.3849,0.8177,0.836,4007.0,15111.0,0.000967,7.348,0.1533,0.2433,0.3442,0.4272,,
