sweep,dataset,arm,budget,n,em,em_ci_lo,em_ci_hi,f1,faithfulness,label
primary,hotpotqa,compress_llmlingua,500,150,0.22,0.1533,0.2867,0.3097,0.26,exploratory (underpowered slice)
primary,hotpotqa,compress_llmlingua,1000,150,0.26,0.1933,0.3333,0.3563,0.35,exploratory (underpowered slice)
primary,hotpotqa,compress_llmlingua,2000,150,0.3267,0.2533,0.4,0.4392,0.5467,exploratory (underpowered slice)
primary,hotpotqa,compress_llmlingua,4000,150,0.4533,0.3733,0.5333,0.6168,0.8033,exploratory (underpowered slice)
primary,hotpotqa,graph_select,500,150,0.3267,0.2533,0.4,0.4216,0.4867,exploratory (underpowered slice)
primary,hotpotqa,graph_select,1000,150,0.3667,0.2933,0.44,0.4612,0.52,exploratory (underpowered slice)
primary,hotpotqa,graph_select,2000,150,0.3667,0.2867,0.4467,0.4556,0.4333,exploratory (underpowered slice)
primary,hotpotqa,graph_select,4000,150,0.4267,0.3467,0.5067,0.5288,0.54,exploratory (underpowered slice)
primary,hotpotqa,naive_topk,500,150,0.5533,0.4733,0.6333,0.6762,0.8733,exploratory (underpowered slice)
primary,hotpotqa,naive_topk,1000,150,0.56,0.48,0.64,0.6928,0.9333,exploratory (underpowered slice)
primary,hotpotqa,naive_topk,2000,150,0.5933,0.5133,0.6733,0.7309,0.91,exploratory (underpowered slice)
primary,hotpotqa,naive_topk,4000,150,0.5933,0.5133,0.6733,0.7438,0.9333,exploratory (underpowered slice)
primary,hotpotqa,naive_topk_dedup,500,150,0.54,0.46,0.62,0.6673,0.8733,exploratory (underpowered slice)
primary,hotpotqa,naive_topk_dedup,1000,150,0.56,0.48,0.64,0.6928,0.9333,exploratory (underpowered slice)
primary,hotpotqa,naive_topk_dedup,2000,150,0.5933,0.5133,0.6733,0.7309,0.91,exploratory (underpowered slice)
primary,hotpotqa,naive_topk_dedup,4000,150,0.5933,0.5133,0.6733,0.7438,0.9333,exploratory (underpowered slice)
primary,hotpotqa,rerank_topk,500,150,0.58,0.5,0.6535,0.7189,0.9,exploratory (underpowered slice)
primary,hotpotqa,rerank_topk,1000,150,0.6133,0.5333,0.6867,0.7543,0.9067,exploratory (underpowered slice)
primary,hotpotqa,rerank_topk,2000,150,0.6267,0.5467,0.7067,0.7622,0.91,exploratory (underpowered slice)
primary,hotpotqa,rerank_topk,4000,150,0.64,0.5667,0.7133,0.773,0.9067,exploratory (underpowered slice)
primary,hotpotqa,summarize_recomp,500,150,0.4733,0.3933,0.5533,0.5889,0.8833,exploratory (underpowered slice)
primary,hotpotqa,summarize_recomp,1000,150,0.54,0.46,0.62,0.6868,0.9167,exploratory (underpowered slice)
primary,hotpotqa,summarize_recomp,2000,150,0.5533,0.4733,0.6333,0.7216,0.9633,exploratory (underpowered slice)
primary,hotpotqa,summarize_recomp,4000,150,0.58,0.5,0.66,0.7522,0.9667,exploratory (underpowered slice)
primary,liverag,compress_llmlingua,500,75,0.0,0.0,0.0,0.1338,0.2173,exploratory (underpowered slice)
primary,liverag,compress_llmlingua,1000,75,0.0,0.0,0.0,0.155,0.3493,exploratory (underpowered slice)
primary,liverag,compress_llmlingua,2000,75,0.0,0.0,0.0,0.1786,0.5733,exploratory (underpowered slice)
primary,liverag,compress_llmlingua,4000,75,0.0133,0.0,0.04,0.2478,0.924,exploratory (underpowered slice)
primary,liverag,graph_select,500,75,0.0,0.0,0.0,0.1984,0.5133,exploratory (underpowered slice)
primary,liverag,graph_select,1000,75,0.0,0.0,0.0,0.2244,0.5573,exploratory (underpowered slice)
primary,liverag,graph_select,2000,75,0.0,0.0,0.0,0.2233,0.5507,exploratory (underpowered slice)
primary,liverag,graph_select,4000,75,0.0,0.0,0.0,0.2358,0.5653,exploratory (underpowered slice)
primary,liverag,naive_topk,500,75,0.0133,0.0,0.04,0.2767,0.99,exploratory (underpowered slice)
primary,liverag,naive_topk,1000,75,0.0133,0.0,0.04,0.3073,0.9893,exploratory (underpowered slice)
primary,liverag,naive_topk,2000,75,0.0133,0.0,0.04,0.3304,0.996,exploratory (underpowered slice)
primary,liverag,naive_topk,4000,75,0.0,0.0,0.0,0.3218,0.9907,exploratory (underpowered slice)
primary,liverag,naive_topk_dedup,500,75,0.0133,0.0,0.04,0.2767,0.99,exploratory (underpowered slice)
primary,liverag,naive_topk_dedup,1000,75,0.0133,0.0,0.04,0.3073,0.9893,exploratory (underpowered slice)
primary,liverag,naive_topk_dedup,2000,75,0.0133,0.0,0.04,0.3304,0.996,exploratory (underpowered slice)
primary,liverag,naive_topk_dedup,4000,75,0.0,0.0,0.0,0.3218,0.9907,exploratory (underpowered slice)
primary,liverag,rerank_topk,500,75,0.0133,0.0,0.04,0.2954,0.9893,exploratory (underpowered slice)
primary,liverag,rerank_topk,1000,75,0.0133,0.0,0.04,0.3081,0.996,exploratory (underpowered slice)
primary,liverag,rerank_topk,2000,75,0.0133,0.0,0.04,0.3216,0.996,exploratory (underpowered slice)
primary,liverag,rerank_topk,4000,75,0.0133,0.0,0.04,0.3161,0.9947,exploratory (underpowered slice)
primary,liverag,summarize_recomp,500,75,0.0133,0.0,0.04,0.1861,0.9827,exploratory (underpowered slice)
primary,liverag,summarize_recomp,1000,75,0.0133,0.0,0.04,0.2079,0.9867,exploratory (underpowered slice)
primary,liverag,summarize_recomp,2000,75,0.0133,0.0,0.04,0.2276,0.9867,exploratory (underpowered slice)
primary,liverag,summarize_recomp,4000,75,0.0133,0.0,0.04,0.2407,0.9987,exploratory (underpowered slice)
primary,ms_marco,compress_llmlingua,500,75,0.0,0.0,0.0,0.1653,0.372,exploratory (underpowered slice)
primary,ms_marco,compress_llmlingua,1000,75,0.0267,0.0,0.0667,0.1931,0.4507,exploratory (underpowered slice)
primary,ms_marco,compress_llmlingua,2000,75,0.0,0.0,0.0,0.2241,0.7333,exploratory (underpowered slice)
primary,ms_marco,compress_llmlingua,4000,75,0.0267,0.0,0.0667,0.2371,0.8653,exploratory (underpowered slice)
primary,ms_marco,graph_select,500,75,0.0133,0.0,0.04,0.2008,0.4507,exploratory (underpowered slice)
primary,ms_marco,graph_select,1000,75,0.0,0.0,0.0,0.197,0.4973,exploratory (underpowered slice)
primary,ms_marco,graph_select,2000,75,0.0267,0.0,0.0667,0.2302,0.5,exploratory (underpowered slice)
primary,ms_marco,graph_select,4000,75,0.04,0.0,0.0933,0.2359,0.4533,exploratory (underpowered slice)
primary,ms_marco,naive_topk,500,75,0.04,0.0,0.0933,0.2742,0.944,exploratory (underpowered slice)
primary,ms_marco,naive_topk,1000,75,0.0267,0.0,0.0667,0.2842,0.92,exploratory (underpowered slice)
primary,ms_marco,naive_topk,2000,75,0.0267,0.0,0.0667,0.2869,0.9333,exploratory (underpowered slice)
primary,ms_marco,naive_topk,4000,75,0.04,0.0,0.0933,0.2921,0.9267,exploratory (underpowered slice)
primary,ms_marco,naive_topk_dedup,500,75,0.0267,0.0,0.0667,0.2666,0.944,exploratory (underpowered slice)
primary,ms_marco,naive_topk_dedup,1000,75,0.0267,0.0,0.0667,0.2843,0.9267,exploratory (underpowered slice)
