dataset,method,recall@1,recall@5,recall@10,recall@20,recall@50,mrr
hotpotqa,bm25,0.2933,0.5567,0.6467,0.7267,0.7967,0.6954
hotpotqa,dense_bge_m3,0.4433,0.8,0.9033,0.9333,0.9467,0.9291
liverag,bm25,0.72,0.84,0.8933,0.9067,0.9067,0.7803
liverag,dense_bge_m3,0.9467,1.0,1.0,1.0,1.0,0.9711
ms_marco,bm25,0.1667,0.5467,0.72,0.7933,0.8267,0.3388
ms_marco,dense_bge_m3,0.4,0.82,0.92,0.9733,0.9867,0.5924
multihop_rag,bm25,0.2139,0.5394,0.6378,0.72,0.8122,0.6319
multihop_rag,dense_bge_m3,0.2844,0.6656,0.8417,0.9533,0.99,0.7717
nq_open_gold,bm25,0.3733,0.56,0.68,0.7067,0.7333,0.4661
nq_open_gold,dense_bge_m3,0.7067,0.8667,0.88,0.9067,0.9467,0.7805
squad_v2,bm25,0.4667,0.7067,0.76,0.8,0.8667,0.5768
squad_v2,dense_bge_m3,0.84,0.9067,0.96,0.96,1.0,0.8739
wikitablequestions,bm25,0.1133,0.1517,0.18,0.2017,0.25,0.1349
wikitablequestions,dense_bge_m3,0.265,0.4217,0.5017,0.61,0.7333,0.3455
POOLED,bm25,0.228,0.3787,0.4414,0.4821,0.5344,0.3685
POOLED,dense_bge_m3,0.4043,0.6186,0.704,0.7808,0.8546,0.5865
