arm,budget,prose_em,structured_em,prose_em_gold_in_pool,structured_em_gold_in_pool,n_structured_gold_in_pool,pct_structured_gold_in_pool,gap_total,gap_assembly_matched_retrieval,gap_retrieval_share
naive_topk,500,0.4867,0.1717,0.4899,0.2154,455,0.7583,0.315,0.2745,0.0405
naive_topk,1000,0.4983,0.1733,0.5017,0.2154,455,0.7583,0.325,0.2863,0.0387
naive_topk,2000,0.5067,0.175,0.5101,0.2242,455,0.7583,0.3317,0.2859,0.0458
naive_topk,4000,0.5133,0.1733,0.5168,0.2154,455,0.7583,0.34,0.3014,0.0386
rerank_topk,500,0.5167,0.2033,0.5201,0.2549,455,0.7583,0.3133,0.2652,0.0481
rerank_topk,1000,0.5217,0.1983,0.5252,0.2527,455,0.7583,0.3233,0.2724,0.0509
rerank_topk,2000,0.5317,0.1967,0.5352,0.2505,455,0.7583,0.335,0.2847,0.0503
rerank_topk,4000,0.5267,0.2017,0.5302,0.2549,455,0.7583,0.325,0.2753,0.0497
compress_llmlingua,500,0.24,0.0683,0.2416,0.0791,455,0.7583,0.1717,0.1625,0.0092
compress_llmlingua,1000,0.2783,0.0783,0.2802,0.0989,455,0.7583,0.2,0.1813,0.0187
compress_llmlingua,2000,0.315,0.09,0.3171,0.1077,455,0.7583,0.225,0.2094,0.0156
compress_llmlingua,4000,0.4,0.1167,0.4027,0.1451,455,0.7583,0.2833,0.2576,0.0257
summarize_recomp,500,0.4083,0.0717,0.4111,0.0923,455,0.7583,0.3367,0.3188,0.0179
summarize_recomp,1000,0.4483,0.1217,0.4513,0.1538,455,0.7583,0.3267,0.2975,0.0292
summarize_recomp,2000,0.4733,0.15,0.4765,0.1912,455,0.7583,0.3233,0.2853,0.038
summarize_recomp,4000,0.4917,0.1917,0.495,0.244,455,0.7583,0.3,0.251,0.049
graph_select,500,0.2867,0.0667,0.2886,0.0813,455,0.7583,0.22,0.2073,0.0127
graph_select,1000,0.3233,0.0833,0.3255,0.1055,455,0.7583,0.24,0.22,0.02
graph_select,2000,0.35,0.0883,0.3523,0.1121,455,0.7583,0.2617,0.2403,0.0214
graph_select,4000,0.37,0.1033,0.3725,0.1319,455,0.7583,0.2667,0.2406,0.0261
